#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2022-07-08T00:50:59 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62c77f2d143f3	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/AJ/157/12&tab:{J/AJ/157/12/table3}&key:source=J/AJ/157/12/table3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/157/12/table3
#-order=I
#-out=GLON
#-out=GLAT
#-out=RAJ2000
#-out=DEJ2000
#-out=Diam-a
#-out=Diam-b
#-out=Name
#-out=Class1
#-out=Class2
#

#RESOURCE=yCat_51570012
#Name: J/AJ/157/12
#Title: Star clusters, associations, & candidates in the MW (Bica+, 2019)
#Table	J_AJ_157_12_table3:
#Name: J/AJ/157/12/table3
#Title: Clusters, candidates and alike objects
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	RAJ2000	(A8)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Diam-a	(F7.2)	[0.01/4560] Major axis diameter	[ucd=phys.angSize]
#Column	Diam-b	(F7.2)	[0.01/2400] Minor axis diameter	[ucd=phys.angSize]
#Column	Name	(a112)	Chronologically ordered cross-identified designation(s)	[ucd=meta.id.cross]
#Column	Class1	(a5)	Object type (G1)	[ucd=src.class]
#Column	Class2	(A5)	Possible second object type (G1)	[ucd=src.class]
_RAJ2000|_DEJ2000|GLON|GLAT|RAJ2000|DEJ2000|Diam-a|Diam-b|Name|Class1|Class2
270.29167|-17.32889| 11.82|  2.81|18 01 10|-17 19 44|   3.50|   3.50|Ryu 201                                                                                                         |OC   |
272.10000|-18.29222| 11.82|  0.84|18 08 24|-18 17 32|   1.70|   1.70|Ryu 675,Bica 37                                                                                                 |EC   |
271.49583|-17.89556| 11.89|  1.53|18 05 59|-17 53 44|   1.00|   1.00|Ryu 677                                                                                                         |OC   |
269.84167|-16.99583| 11.89|  3.35|17 59 22|-16 59 45|   1.00|   1.00|Teutsch J1759.3-1659                                                                                            |Ast  |OCC
272.23333|-18.26583| 11.90|  0.74|18 08 56|-18 15 57|   4.00|   4.00|Bica 38                                                                                                         |ECC  |
272.13333|-18.14222| 11.91|  0.85|18 08 32|-18 08 32|   9.00|   6.00|LMR 32                                                                                                          |Assoc|
273.58750|-18.92417| 11.94| -0.70|18 14 21|-18 55 27|   2.50|   2.50|Ryu 679                                                                                                         |OC   |
273.50000|-18.88500| 11.94| -0.61|18 14 00|-18 53 06|   0.90|   0.90|Ryu 678                                                                                                         |EC   |
267.80833|-15.80722| 11.95|  5.63|17 51 14|-15 48 26|   1.40|   1.40|Ryu 680                                                                                                         |OC   |
273.33750|-18.79000| 11.95| -0.43|18 13 21|-18 47 24|  24.00|  24.00|Polakis 1                                                                                                       |Ast  |
273.82083|-19.00000| 11.98| -0.93|18 15 17|-19 00 00|   2.20|   1.50|Markarian 38,Biurakan 5,OCL 33,ESO 590-9,MWSC 2857                                                              |EC   |
274.29167|-19.23083| 11.99| -1.43|18 17 10|-19 13 51|   1.40|   1.40|Ryu 682                                                                                                         |OC   |
277.38333|-20.76222| 11.99| -4.72|18 29 32|-20 45 44|   1.00|   1.00|Ryu 681                                                                                                         |OC   |
273.72083|-18.93222| 12.00| -0.82|18 14 53|-18 55 56| 420.00| 180.00|SgrR1                                                                                                           |Assoc|
273.91667|-18.96111| 12.06| -0.99|18 15 40|-18 57 40| 102.00| 102.00|SgrOB4,MWSC 2859                                                                                                |Assoc|
273.12083|-18.49056| 12.11| -0.11|18 12 29|-18 29 26|  15.00|  12.00|LMR 33                                                                                                          |Assoc|
275.01250|-19.42167| 12.15| -2.12|18 20 03|-19 25 18|   2.60|   2.60|Ryu 683                                                                                                         |OC   |
268.79167|-16.06889| 12.20|  4.69|17 55 10|-16 04 08|   1.40|   1.40|Ryu 684                                                                                                         |OC   |
273.17083|-18.41528| 12.20| -0.11|18 12 41|-18 24 55|   4.00|   4.00|Bica 39                                                                                                         |EC   |
266.47500|-14.65972| 12.29|  7.32|17 45 54|-14 39 35|   8.00|   8.00|FSR 43,MWSC 2685                                                                                                |OC   |
274.52500|-18.97500| 12.32| -1.51|18 18 06|-18 58 30|   3.00|   3.00|Teutsch 262                                                                                                     |OCC  |
278.00000|-20.67750| 12.33| -5.19|18 32 00|-20 40 39|   1.30|   1.30|Ryu 685                                                                                                         |OC   |
276.40000|-19.88833| 12.34| -3.49|18 25 36|-19 53 18|   1.20|   1.20|Ryu 686                                                                                                         |OC   |
274.30000|-18.82500| 12.35| -1.25|18 17 12|-18 49 30|   4.00|   4.00|Turner 2,Kronberger J1817.2-1849,MWSC 2872                                                                      |EC   |
274.39167|-18.86389| 12.36| -1.34|18 17 34|-18 51 50|   3.00|   3.00|Turner 3,Kronberger J1817.5-1851,MWSC 2874                                                                      |EC   |
276.17500|-19.71806| 12.39| -3.22|18 24 42|-19 43 05|   8.00|   8.00|Trumpler 33,Collinder 378,OCL 34,ESO 590-20,MWSC 2910                                                           |OC   |
293.38333|-26.89722| 12.40|-20.56|19 33 32|-26 53 50|  18.00|  18.00|MWSC 5715                                                                                                       |OC   |
273.69583|-18.43889| 12.41| -0.56|18 14 47|-18 26 20|  11.00|   8.00|LMR 34                                                                                                          |Assoc|
272.71250|-17.93056| 12.42|  0.50|18 10 51|-17 55 50|   0.80|   0.80|Ryu 687                                                                                                         |EC   |
274.21250|-18.69778| 12.43| -1.11|18 16 51|-18 41 52|   2.00|   2.00|BDSB 6,MWSC 2866                                                                                                |ECC  |
274.21667|-18.68333| 12.44| -1.11|18 16 52|-18 41 00|  10.00|  10.00|Maj 195,Majaess 195                                                                                             |EC   |
274.28333|-18.70000| 12.46| -1.17|18 17 08|-18 42 00|   4.00|   4.00|Turner 4,Kronberger J1817.1-1842,MWSC 2871                                                                      |EC   |
278.13750|-20.58694| 12.47| -5.26|18 32 33|-20 35 13|   1.30|   1.30|Ryu 202                                                                                                         |OC   |
275.65417|-19.36778| 12.48| -2.63|18 22 37|-19 22 04|   2.50|   2.50|Ryu 688                                                                                                         |OC   |
272.59167|-17.76639| 12.50|  0.68|18 10 22|-17 45 59|  10.00|  10.00|Dolidze 51,MWSC 2832                                                                                            |EC   |
272.42917|-17.63361| 12.55|  0.88|18 09 43|-17 38 01|   1.70|   1.70|Ryu 689                                                                                                         |OC   |
284.13333|-23.20333| 12.55|-11.41|18 56 32|-23 12 12|  20.00|  20.00|HD 175360 Group                                                                                                 |Ast  |
277.81250|-20.26639| 12.62| -4.85|18 31 15|-20 15 59|   1.30|   1.30|Ryu 690                                                                                                         |OC   |
269.37917|-15.88000| 12.64|  4.29|17 57 31|-15 52 48|   1.10|   1.10|Ryu 11                                                                                                          |OC   |
272.72917|-17.69028| 12.64|  0.61|18 10 55|-17 41 25|   5.00|   5.00|BDSB 7,MWSC 2836                                                                                                |EC   |
267.94583|-15.04222| 12.68|  5.90|17 51 47|-15 02 32|   1.90|   1.90|Ryu 691                                                                                                         |OC   |
273.53333|-18.00583| 12.73| -0.22|18 14 08|-18 00 21|   1.40|   1.40|Ryu 692                                                                                                         |EC   |
274.14167|-18.31111| 12.73| -0.87|18 16 34|-18 18 40|   6.00|   6.00|Collinder 469,OCL 35,MWSC 2865                                                                                  |OC   |
274.05833|-18.26389| 12.73| -0.77|18 16 14|-18 15 50|   4.00|   3.50|ESO 590-13                                                                                                      |OC   |
273.47917|-17.94861| 12.74| -0.15|18 13 55|-17 56 55|   1.60|   1.60|GLIMPSE 1,Mercer 1                                                                                              |EGr  |
273.35000|-17.89167| 12.74| -0.01|18 13 24|-17 53 30|   3.00|   3.00|Messineo 1,Cl 1813-18,SAI 126,                                                                                  |OC   |
273.05000|-17.70250| 12.77|  0.33|18 12 12|-17 42 09|   1.40|   1.40|Ryu 694,Bica 40                                                                                                 |EC   |
273.55417|-17.93194| 12.80| -0.19|18 14 13|-17 55 55|   0.90|   0.70|W 33,BDB 10,MWSC 2849                                                                                           |EC   |
272.97917|-17.62389| 12.81|  0.43|18 11 55|-17 37 26|   9.00|   6.00|LMR 35                                                                                                          |Assoc|
275.21250|-18.75000| 12.83| -1.97|18 20 51|-18 45 00|   1.20|   1.20|Ryu 204                                                                                                         |OC   |
272.88333|-17.55194| 12.83|  0.54|18 11 32|-17 33 07|   2.50|   2.50|Ryu 203,Bica 41                                                                                                 |EC   |
271.98750|-17.04556| 12.86|  1.54|18 07 57|-17 02 44|   1.90|   1.90|Ryu 695                                                                                                         |OC   |
274.61250|-18.40444| 12.86| -1.30|18 18 27|-18 24 16|   5.00|   5.00|NGC 6603,Melotte 197,Collinder 374,OCL 36,FSR 45,MWSC 2883                                                      |OC   |
273.67500|-17.90000| 12.88| -0.28|18 14 42|-17 54 00|   0.80|   0.80|Ryu 697                                                                                                         |OC   |
272.97083|-17.53361| 12.88|  0.48|18 11 53|-17 32 01|   1.05|   0.90|Ryu 696                                                                                                         |EC   |
283.77500|-22.70083| 12.88|-10.90|18 55 06|-22 42 03|   5.50|   5.50|NGC 6717,Pal 9,Palomar 9,Collinder 395,OCL 37,GCL 105,ESO 523-14,FSR 44,MWSC 3024                               |GC   |
272.98333|-17.51472| 12.90|  0.48|18 11 56|-17 30 53|   0.90|   0.80|Bica 43                                                                                                         |EC   |
272.96250|-17.52167| 12.90|  0.49|18 11 51|-17 31 18|   0.80|   0.65|Bica 42                                                                                                         |EC   |
273.66667|-17.86861| 12.91| -0.26|18 14 40|-17 52 07|   1.20|   0.80|BDSB 114,MWSC 2852                                                                                              |EC   |
274.96667|-18.51750| 12.92| -1.66|18 19 52|-18 31 03|   4.00|   4.00|Teutsch J1819.8-1831                                                                                            |Ast  |OCC
272.97917|-17.49917| 12.92|  0.49|18 11 55|-17 29 57|   0.70|   0.70|Bica 44                                                                                                         |EC   |
275.51250|-18.73806| 12.97| -2.22|18 22 03|-18 44 17|   1.30|   1.30|Ryu 698                                                                                                         |OC   |
269.82083|-15.74139| 12.98|  3.99|17 59 17|-15 44 29|   2.90|   2.90|Ryu 205                                                                                                         |OC   |
275.60833|-18.74417| 13.01| -2.30|18 22 26|-18 44 39|   1.20|   1.20|Ryu 699                                                                                                         |OC   |
282.53333|-22.01667| 13.01| -9.57|18 50 08|-22 01 00|   7.00|   7.00|Teutsch J1850.1-2201                                                                                            |Ast  |lPOCR
275.96250|-18.91194| 13.02| -2.68|18 23 51|-18 54 43|   1.70|   1.70|Ryu 206                                                                                                         |OC   |
273.57500|-17.69611| 13.02| -0.10|18 14 18|-17 41 46|  19.00|  12.00|LMR 36                                                                                                          |Assoc|
273.79583|-17.74306| 13.08| -0.31|18 15 11|-17 44 35|   2.00|   2.00|SUH 2                                                                                                           |EC   |
272.79583|-17.12000| 13.17|  0.82|18 11 11|-17 07 12|   7.00|   7.00|Teutsch 260                                                                                                     |OCC  |
273.52083|-17.47778| 13.18|  0.05|18 14 05|-17 28 40|   3.00|   2.00|BDSB 115,MWSC 2848                                                                                              |EC   |
270.47500|-15.81500| 13.22|  3.40|18 01 54|-15 48 54|   1.60|   1.60|Ryu 207                                                                                                         |OC   |
269.26667|-15.14000| 13.24|  4.75|17 57 04|-15 08 24|   2.30|   2.30|Ryu 208                                                                                                         |OC   |
213.72500|+18.55833| 13.26| 68.98|14 14 54|+18 33 30|  20.00|  12.00|Picot 1,Napoleon's Hat,Ramakers 6                                                                               |Ast  |
290.55000|-25.01000| 13.27|-17.53|19 22 12|-25 00 36|  25.00|  25.00|MWSC 4484                                                                                                       |OC   |
276.51250|-18.87194| 13.29| -3.12|18 26 03|-18 52 19|   1.80|   1.80|Ryu 700                                                                                                         |OC   |
292.46667|-25.66667| 13.31|-19.35|19 29 52|-25 40 00|  40.00|  40.00|HD 183575 Group                                                                                                 |Ast  |
278.87083|-19.96972| 13.34| -5.60|18 35 29|-19 58 11|   1.20|   1.20|Ryu 701                                                                                                         |OC   |
273.58333|-17.32194| 13.35|  0.07|18 14 20|-17 19 19|   5.00|   5.00|FSR 46,MWSC 2850                                                                                                |ECC  |
275.16250|-18.10250| 13.38| -1.62|18 20 39|-18 06 09|   1.50|   1.50|Ryu 702                                                                                                         |OC   |
273.60417|-17.29278| 13.38|  0.07|18 14 25|-17 17 34|   1.50|   1.50|Bica 45                                                                                                         |ECC  |
272.74583|-16.82167| 13.40|  1.01|18 10 59|-16 49 18|  40.00|  40.00|SgrOB6,IV Sgr,Assoc 5,MWSC 2837                                                                                 |Assoc|
272.61250|-16.73639| 13.41|  1.16|18 10 27|-16 44 11|  12.00|   9.00|NGC 6561,MWSC 2834                                                                                              |EC   |EGr
252.57500| -4.78361| 13.50| 24.14|16 50 18|-04 47 01|  60.00|  60.00|UBC 23                                                                                                          |Ast  |
272.97083|-16.72722| 13.59|  0.87|18 11 53|-16 43 38|   1.20|   1.20|Ryu 703                                                                                                         |OC   |
274.52083|-17.47806| 13.64| -0.79|18 18 05|-17 28 41|   1.40|   1.40|Ryu 704                                                                                                         |OC   |
271.74167|-16.01556| 13.65|  2.24|18 06 58|-16 00 56|   1.50|   1.50|Ryu 705                                                                                                         |OC   |
277.94167|-19.12222| 13.69| -4.43|18 31 46|-19 07 20|  32.00|  32.00|M 25,IC 4725,Melotte 204,Collinder 382,OCL 38,ESO 591-6,MWSC 2940                                               |OC   |
277.15833|-18.73278| 13.70| -3.59|18 28 38|-18 43 58|   2.00|   2.00|Ryu 706                                                                                                         |OC   |
276.55000|-18.43333| 13.70| -2.95|18 26 12|-18 26 00|  30.00|  30.00|IC 4715,ESO 591-1                                                                                               |Ast  |
269.56667|-14.73917| 13.73|  4.70|17 58 16|-14 44 21|   1.60|   1.60|Ryu 209                                                                                                         |OC   |
271.23750|-15.61389| 13.76|  2.86|18 04 57|-15 36 50|   1.20|   1.20|Ryu 12                                                                                                          |OC   |
273.65000|-16.75472| 13.88|  0.28|18 14 36|-16 45 17|   1.20|   0.80|BDSB 116,MWSC 2851                                                                                              |EC   |
279.14583|-19.46500| 13.91| -5.60|18 36 35|-19 27 54|  48.00|  48.00|Alessi 40,ASCC 97,MWSC 2963                                                                                     |OC   |
280.46667|-20.05528| 13.94| -6.98|18 41 52|-20 03 19|   2.20|   2.00|Mackie 1                                                                                                        |Ast  |lPOCR
273.52083|-16.60778| 13.95|  0.46|18 14 05|-16 36 28|   1.00|   1.00|Ryu 707                                                                                                         |OC   |
274.08750|-16.85000| 13.99| -0.13|18 16 21|-16 51 00|   2.40|   2.00|GLIMPSE 2,Mercer 2,Dewangen-Ojha 1                                                                              |EC   |
274.13333|-16.85806| 14.01| -0.17|18 16 32|-16 51 29|   1.00|   1.00|DO 1,Dewangen-Ojha 1                                                                                            |EC   |
274.32917|-16.93389| 14.03| -0.37|18 17 19|-16 56 02|   1.00|   1.00|Ryu 210                                                                                                         |OC   |
274.75000|-17.13389| 14.04| -0.82|18 19 00|-17 08 02|   4.50|   3.50|FSR 47                                                                                                          |OC   |
273.34583|-16.38472| 14.06|  0.72|18 13 23|-16 23 05|   0.80|   0.80|Ryu 708                                                                                                         |OC   |
276.42083|-17.95361| 14.07| -2.61|18 25 41|-17 57 13|   1.20|   1.20|Ryu 709                                                                                                         |OC   |
283.12917|-21.08194| 14.10| -9.66|18 52 31|-21 04 55|   4.00|   2.50|Ruprecht 146,OCL 39,ESO 592-4,MWSC 3012                                                                         |OC   |
280.37500|-19.82583| 14.10| -6.80|18 41 30|-19 49 33|   6.00|   6.00|Pal 8,Palomar 8,GCL 100,ESO 591-12,FSR 48,MWSC 2974                                                             |GC   |
274.55000|-16.95500| 14.11| -0.57|18 18 12|-16 57 18|   1.00|   1.00|MWM 55                                                                                                          |EC   |
274.62500|-16.97528| 14.13| -0.64|18 18 30|-16 58 31|   1.20|   1.20|GLIMPSE C02,Mercer 3,GLIMPSE 3,MWSC 2884                                                                        |GC   |
272.10417|-15.58417| 14.19|  2.15|18 08 25|-15 35 03|   1.20|   1.20|Ryu 710                                                                                                         |OC   |
274.98333|-17.08611| 14.19| -0.99|18 19 56|-17 05 10|   9.00|   9.00|M 18,NGC 6613,Collinder 376,OCL 40,MWSC 2892                                                                    |OC   |
273.99583|-16.56722| 14.20|  0.08|18 15 59|-16 34 02|  33.00|  19.00|LMR 37                                                                                                          |Assoc|
274.56250|-16.84944| 14.21| -0.53|18 18 15|-16 50 58|   1.30|   1.30|Ryu 711                                                                                                         |EC   |
274.38750|-16.65056| 14.30| -0.28|18 17 33|-16 39 02|   7.00|   6.00|NGC 6596,OCL 41,MWSC 2874                                                                                       |EC   |
272.88333|-15.85417| 14.32|  1.36|18 11 32|-15 51 15|   1.80|   1.80|Ryu 211                                                                                                         |OC   |
274.72917|-16.78750| 14.34| -0.64|18 18 55|-16 47 15|   2.10|   2.10|MWM 56                                                                                                          |EC   |
276.91667| -3.83111| 14.34| 12.31|18 27 40|-03 49 52|   7.00|   7.00|TPN 2,MWC 297,BDB 11,MWSC 2919,MWSC 2918                                                                        |EC   |
273.55417|-16.10000| 14.41|  0.68|18 14 13|-16 06 00|   2.00|   2.00|Teutsch J1814.2-1606                                                                                            |Ast  |OCC
270.58333|-14.50694| 14.42|  3.96|18 02 20|-14 30 25|   1.80|   1.80|Ryu 712                                                                                                         |EC   |
274.22500|-16.31472| 14.53|  0.01|18 16 54|-16 18 53|   1.80|   1.80|Ryu 212                                                                                                         |OC   |
278.91667|-18.61111| 14.57| -5.02|18 35 40|-18 36 40|   1.30|   1.30|Ryu 213                                                                                                         |OC   |
273.40000|-15.82361| 14.58|  0.94|18 13 36|-15 49 25|   2.20|   2.20|Ryu 713                                                                                                         |OC   |
270.20417|-14.06667| 14.62|  4.49|18 00 49|-14 04 00|   0.90|   0.90|Ryu 714                                                                                                         |OC   |
274.83750|-16.51556| 14.63| -0.60|18 19 21|-16 30 56|   1.70|   1.70|Ryu 716                                                                                                         |EC   |
274.00417|-16.08556| 14.63|  0.30|18 16 01|-16 05 08|   0.80|   0.80|Ryu 715                                                                                                         |EC   |
296.45833|-25.72000| 14.63|-22.73|19 45 50|-25 43 12|  30.00|  30.00|HD 186449 Group                                                                                                 |Ast  |
273.87917|-15.99833| 14.64|  0.45|18 15 31|-15 59 54|  15.00|   9.00|Alessi J1815.5-1559                                                                                             |Ast  |EGr
271.56250|-14.74694| 14.67|  3.01|18 06 15|-14 44 49|   1.10|   1.10|Ryu 717                                                                                                         |OC   |
275.20417|-16.60000| 14.72| -0.95|18 20 49|-16 36 00|  72.00|  72.00|SerOB1A                                                                                                         |Assoc|
274.02917|-15.95333| 14.76|  0.35|18 16 07|-15 57 12|   3.00|   3.00|Kronberger 50                                                                                                   |OCC  |
273.10833|-15.38000| 14.84|  1.40|18 12 26|-15 22 48|   5.00|   5.00|Alessi 63,Alessi J1812.4-1522,Teutsch J1812.4-1522                                                              |Ast  |lPOCR
283.05417|-20.21667| 14.86| -9.23|18 52 13|-20 13 00|  20.00|  20.00|Collinder 394,OCL 42,ESO 592-3,MWSC 3011                                                                        |OC   |
276.46667|-17.07833| 14.87| -2.25|18 25 52|-17 04 42|   7.00|   7.00|Teutsch 265,Dolidze 52a,Teutsch J1825.8-1704                                                                    |OCC  |POCR
274.07083|-15.78167| 14.93|  0.39|18 16 17|-15 46 54|   1.00|   1.00|Ryu 214                                                                                                         |OC   |
275.13750|-16.26889| 14.98| -0.74|18 20 33|-16 16 08|   1.80|   1.80|Ryu 718                                                                                                         |EC   |
272.44583|-14.84972| 14.99|  2.22|18 09 47|-14 50 59|   1.00|   1.00|Ryu 719                                                                                                         |OC   |
275.11667|-16.21861| 15.02| -0.70|18 20 28|-16 13 07|   1.20|   1.20|Ryu 720                                                                                                         |EC   |
274.42083|-15.85611| 15.02|  0.06|18 17 41|-15 51 22|   4.80|   3.30|LMR 38                                                                                                          |Assoc|
275.97500|-16.65000| 15.02| -1.63|18 23 54|-16 39 00|   8.00|   8.00|Dolidze 52,MWSC 2907                                                                                            |EC   |
275.12500|-16.18194| 15.05| -0.69|18 20 30|-16 10 55|   1.90|   1.40|M 17 Cluster,BDB 12,MDF 4,Ryu 721                                                                               |EC   |
275.11667|-16.17083| 15.06| -0.67|18 20 28|-16 10 15|  20.00|  20.00|NGC 6618,Collinder 377,OCL 44,MWSC 2896                                                                         |EC   |
275.81250|-16.52278| 15.06| -1.43|18 23 15|-16 31 22|   5.00|   5.00|Dolidze 52d                                                                                                     |ECC  |
275.12917|-16.13111| 15.10| -0.67|18 20 31|-16 07 52|   1.50|   1.50|Ryu 722                                                                                                         |EC   |
291.82500|-23.58306| 15.11|-18.03|19 27 18|-23 34 59|   7.00|   5.50|ESO 525-8,MWSC 3125                                                                                             |OC   |
275.17917|-16.14000| 15.12| -0.72|18 20 43|-16 08 24|   1.50|   1.50|Ryu 723                                                                                                         |EC   |
254.28750| -4.09944| 15.14| 23.08|16 57 09|-04 05 58|  22.00|  22.00|M 10,NGC 6254,GCL 49,MWSC 2498                                                                                  |GC   |
275.13333|-16.04972| 15.18| -0.64|18 20 32|-16 02 59|   1.40|   1.40|GLIMPSE 4,Mercer 4                                                                                              |EGr  |
271.65417|-14.20472| 15.19|  3.20|18 06 37|-14 12 17|   0.80|   0.80|Ryu 724                                                                                                         |OC   |
276.72917|-16.84167| 15.19| -2.36|18 26 55|-16 50 30|   1.10|   1.10|Ryu 215                                                                                                         |OC   |
274.06667|-15.47639| 15.19|  0.54|18 16 16|-15 28 35|  30.00|  30.00|SerCp I Group                                                                                                   |Ast  |
267.67500|-12.00167| 15.20|  7.65|17 50 42|-12 00 06|  27.00|  27.00|Alessi 31,ASCC 92,MWSC 2723                                                                                     |OC   |
278.84583|-17.86306| 15.21| -4.62|18 35 23|-17 51 47|   0.70|   0.70|Ryu 725                                                                                                         |OC   |
277.92083|-17.34167| 15.27| -3.59|18 31 41|-17 20 30|  12.00|  12.00|NGC 6647,OCL 45,MWSC 2939                                                                                       |EC   |
275.31250|-15.90722| 15.38| -0.72|18 21 15|-15 54 26|  27.00|  21.00|LMR 39                                                                                                          |Assoc|
272.60833|-14.48000| 15.39|  2.25|18 10 26|-14 28 48|   1.80|   1.80|Ryu 216                                                                                                         |OC   |
283.64167|-19.89556| 15.40| -9.59|18 54 34|-19 53 44|   9.00|   7.00|NGC 6716,Collinder 393,OCL 46,ESO 592-5,MWSC 3020                                                               |OC   |
276.13750|-16.26833| 15.43| -1.59|18 24 33|-16 16 06|   1.10|   1.10|Ryu 726                                                                                                         |OC   |
278.20000|-17.25194| 15.48| -3.79|18 32 48|-17 15 07|   1.10|   1.10|Ryu 217                                                                                                         |OC   |
277.02917|-16.63917| 15.50| -2.52|18 28 07|-16 38 21|   1.50|   1.50|Ryu 218                                                                                                         |OC   |
295.40833|-24.45500| 15.54|-21.40|19 41 38|-24 27 18|  20.00|  20.00|MWSC 4511                                                                                                       |OC   |
273.90000|-14.99000| 15.54|  0.91|18 15 36|-14 59 24|  12.00|  12.00|ASCC 94,MWSC 2858                                                                                               |OC   |
001.02917|-29.83167| 15.58|-79.26|00 04 07|-29 49 54| 100.00| 100.00|Blanco 1,zeta Scl,OCL 43,ESO 409-9,MWSC 7                                                                       |OC   |
275.20833|-15.61056| 15.60| -0.49|18 20 50|-15 36 38|   1.20|   1.20|Ryu 727                                                                                                         |OC   |
274.09167|-14.98611| 15.63|  0.75|18 16 22|-14 59 10|  14.00|  14.00|NGC 6605,OCL 47,MWSC 2882                                                                                       |OC   |
275.06667|-15.44222| 15.68| -0.29|18 20 16|-15 26 32|   5.70|   4.80|LMR 40                                                                                                          |EC   |Assoc
251.81250| -1.94778| 15.72| 26.31|16 47 15|-01 56 52|  19.00|  19.00|M 12,NGC 6218,GCL 45,MWSC 2464                                                                                  |GC   |
291.22500|-22.70833| 15.74|-17.19|19 24 54|-22 42 30|  25.00|  25.00|HD 182251 Group                                                                                                 |Ast  |
282.30000|-18.88500| 15.76| -8.01|18 49 12|-18 53 06|  40.00|  40.00|Alessi 1849-18,Summer Christmas Tree                                                                            |Ast  |
278.15000|-16.89722| 15.76| -3.59|18 32 36|-16 53 50|  11.00|   7.00|NGC 6645,Melotte 205,Collinder 383,OCL 48,MWSC 2946                                                             |OC   |
283.50000|-19.41250| 15.78| -9.26|18 54 00|-19 24 45|   2.00|   2.00|Patchick 87                                                                                                     |lPOCR|Ast
278.77083|-17.17556| 15.79| -4.24|18 35 05|-17 10 32|   0.90|   0.90|Ryu 219                                                                                                         |OC   |
282.27083|-18.73000| 15.89| -7.99|18 49 05|-18 43 48|  12.00|  12.00|ASCC 99,MWSC 2999                                                                                               |OC   |
276.70000|-16.00861| 15.92| -1.95|18 26 48|-16 00 31|   0.90|   0.90|Ryu 728                                                                                                         |OC   |
314.90417|-29.38667| 15.92|-39.43|20 59 37|-29 23 12|   4.00|   3.00|ESO 464-9,MWSC 3443                                                                                             |lPOCR|OC
271.98750|-13.43472| 16.02|  3.29|18 07 57|-13 26 05|   1.30|   1.30|Ryu 729                                                                                                         |OC   |
270.92500|-12.77694| 16.09|  4.51|18 03 42|-12 46 37|   1.70|   1.70|Ryu 730                                                                                                         |OC   |
273.92500|-14.33556| 16.13|  1.20|18 15 42|-14 20 08|   1.20|   1.20|Ryu 731                                                                                                         |OC   |
274.30833|-14.52056| 16.14|  0.79|18 17 14|-14 31 14|   1.40|   1.40|Ryu 733                                                                                                         |OC   |
276.95417|-15.88750| 16.14| -2.10|18 27 49|-15 53 15|   1.10|   1.10|Ryu 732                                                                                                         |OC   |
271.24583|-12.85306| 16.18|  4.20|18 04 59|-12 51 11|   1.50|   1.50|Ryu 220                                                                                                         |OC   |
275.23333|-14.92583| 16.21| -0.19|18 20 56|-14 55 33|   0.70|   0.70|Ryu 735                                                                                                         |OC   |
275.79583|-15.21750| 16.21| -0.81|18 23 11|-15 13 03|   1.00|   1.00|Ryu 734                                                                                                         |OC   |
281.99167|-18.22833| 16.23| -7.46|18 47 58|-18 13 42|  30.00|  30.00|Alessi J1847.9-1813                                                                                             |Ast  |
269.39583|-11.68667| 16.31|  6.35|17 57 35|-11 41 12|   1.50|   1.50|Bica 46                                                                                                         |OCC  |
275.20833|-14.80111| 16.31| -0.11|18 20 50|-14 48 04| 300.00| 180.00|SerOB1,Sgr II,I Ser,Ser I,Assoc 6,MWSC 2897                                                                     |Assoc|
269.43333|-11.67917| 16.33|  6.31|17 57 44|-11 40 45|   2.00|   1.50|Bica 47                                                                                                         |OCC  |
275.32083|-14.80167| 16.36| -0.21|18 21 17|-14 48 06|   1.00|   1.00|Ryu 736                                                                                                         |EC   |
269.51250|-11.66250| 16.38|  6.25|17 58 03|-11 39 45|   7.00|   7.00|Ruprecht 135,OCL 49,MWSC 2759                                                                                   |OC   |lPOCR
264.96250| -9.10083| 16.39| 11.41|17 39 51|-09 06 03|   8.00|   8.00|FSR 50,MWSC 2659                                                                                                |OC   |
